Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Marathon,Glass Brooke,5499039,22,Australia,Vrouw,2670,Langeafstandslopers,20,3,11,174,70,True,18,1,12,9,3,1,1,5,7
Onbekend,Glyde Lara,5562382,20,Australia,Vrouw,2160,Springers,20,2,14,177,70,True,19,1,3,1,5,10,3,7,9
Onbekend,Mestre Deolinda,5653349,18,Portugal,Vrouw,1080,Sprinters,14,1,15,174,67,True,18,9,3,5,2,0,3,5,7
Marathon,Pinder Chloe,5444057,22,Bahamas,Vrouw,14830,Langeafstandslopers,20,6,16,170,76,True,18,1,17,3,4,3,2,10,8
10.000 meter,Basto Zélia,5508996,20,Portugal,Vrouw,3010,Langeafstandslopers,20,3,20,183,79,True,19,2,8,4,2,2,2,9,10
Onbekend,Dörre Ede,5548858,18,Deutschland,Man,2920,Springers,20,2,15,190,89,True,19,0,3,6,8,12,3,6,7
20 km snelwandelen,Cavazzin Emilia,5129429,30,Italia,Vrouw,54980,Snelwandelaars,20,11,17,168,40,True,18,1,20,2,2,0,0,17,16
Onbekend,Boerkamp Mieke,5659121,15,Nederland,Vrouw,800,Springers,10,1,15,156,53,True,14,3,4,7,2,9,1,5,5
Verspringen,Lugo Camila,5555381,20,Argentina,Vrouw,3300,Springers,20,2,18,159,56,True,20,3,3,4,6,12,3,8,7
100 meter,Abbondanzieri Vanesa,5528234,19,Argentina,Vrouw,2050,Sprinters,20,3,18,177,79,True,20,3,2,10,2,1,1,6,8
Discuswerpen,Chacana Mariela,5417257,24,Argentina,Vrouw,3910,Werpers,20,5,17,167,59,True,19,10,2,3,4,3,10,11,8
Onbekend,Páez Israel,5596337,20,España,Man,2510,Werpers,20,2,18,179,80,True,19,10,1,3,3,3,8,9,8
Onbekend,Refaat Astennu,5666397,15,Miṣr,Man,260,Zonder specialiteit,11,1,15,160,62,True,12,2,2,2,7,1,3,0,0
20 km snelwandelen,Mohorič Filip,5465495,21,Slovenija,Man,21060,Snelwandelaars,20,5,18,179,66,True,18,2,19,3,8,1,3,9,8
10 km snelwandelen,Migunova Alla,5389404,24,Rossiya,Vrouw,15010,Snelwandelaars,20,5,19,161,62,True,16,3,18,1,3,1,0,6,10
Onbekend,Garrido Florencio,5589346,18,España,Man,1590,Middenafstandslopers,15,1,18,166,71,True,6,7,11,7,3,2,1,7,6
Hinkstapspringen,Nöske Angelique,5127766,32,Deutschland,Vrouw,13020,Springers,20,10,15,174,72,True,15,0,2,0,9,16,0,11,10
Onbekend,Mendilíbar Remigio,5599213,18,España,Man,4120,Sprinters,20,1,15,182,90,True,17,2,3,13,1,3,7,6,7
Onbekend,Gastelum Samara,5591435,18,España,Vrouw,9980,Snelwandelaars,20,1,15,166,72,True,18,1,16,3,9,2,3,8,5
Hinkstapspringen,Surkhang Jana,5345505,24,Switzerland,Vrouw,8650,Springers,20,7,18,184,87,True,15,9,1,4,3,14,2,10,12
Tienkamp,Brożek Dariusz,5563160,21,Polska,Man,800,Meerkampers,20,2,18,183,82,True,8,7,3,2,2,1,3,4,9
Onbekend,Navalón Minerva,5535705,18,España,Vrouw,1910,Werpers,20,2,15,177,79,True,19,9,3,3,6,3,8,7,8
Onbekend,Giusti Amilcare,5621128,17,Italia,Man,1920,Springers,20,1,17,172,74,True,19,1,0,3,2,10,3,7,7
Onbekend,Huntelaar Lisa,5662937,18,Nederland,Vrouw,1590,Springers,16,1,16,165,57,True,19,3,3,2,4,10,3,4,5
Polsstokhoogspringen,Poças Carlota,5501154,21,Portugal,Vrouw,5120,Springers,20,3,19,180,73,True,11,9,5,1,2,14,2,8,6
Onbekend,Borrego Clementina,5546197,21,España,Vrouw,1560,Springers,20,2,17,162,65,True,16,2,3,0,6,10,4,5,9
Hinkstapspringen,Melo Lourdes,4957412,36,España,Vrouw,7020,Springers,11,13,16,180,73,True,11,0,0,0,10,7,0,12,11
Onbekend,Ortega Manel,5641318,18,España,Man,1050,Werpers,15,1,16,168,71,True,20,4,3,2,4,1,6,5,4
100 meter,Amour Jean Michel,5419498,24,France,Man,10140,Sprinters,20,5,18,179,81,True,16,11,3,16,6,3,2,8,10
Onbekend,Muro Olimpia,5608630,18,España,Vrouw,560,Middenafstandslopers,16,1,15,172,70,True,12,3,6,9,5,3,1,5,5
Onbekend,Samaniego Loreto,5663708,18,España,Vrouw,970,Middenafstandslopers,16,1,15,162,60,True,7,3,9,5,2,0,0,7,9
Onbekend,Figueira Amanda,5435512,25,Portugal,Vrouw,2280,Meerkampers,17,2,11,166,76,True,11,1,10,3,1,10,1,7,9
Polsstokhoogspringen,Claretti Noemi,4423474,48,Italia,Vrouw,18980,Springers,20,20,16,179,53,True,19,0,0,0,0,7,0,2,3
Kogelstoten,Gerola Giulia,4523403,47,Italia,Vrouw,9540,Werpers,11,17,13,173,70,True,19,0,0,0,0,0,7,2,3
110 meter horden,Anderson Eetu,4554539,45,Suomi,Man,7310,Sprinters,11,17,15,184,95,True,13,0,0,5,0,0,0,5,5
100 meter,Bouzas Julene,4594976,45,España,Vrouw,8920,Sprinters,12,17,18,160,59,True,16,0,0,7,0,0,0,5,3
Onbekend,Joachimowska Natasza,5666411,18,Polska,Vrouw,170,Zonder specialiteit,13,1,15,170,62,True,12,6,1,3,2,3,2,0,0
Hoogspringen,Vilain Claire,5405446,23,France,Vrouw,5300,Springers,20,2,17,164,60,True,18,2,7,2,7,14,2,9,6
Onbekend,Baldolini Olivia,5666413,16,Italia,Vrouw,1300,Zonder specialiteit,18,1,15,163,55,True,20,1,9,2,0,2,1,0,0
Onbekend,De Gregoriis Adamo,5666414,17,Italia,Man,780,Zonder specialiteit,11,1,15,173,72,True,12,0,5,3,3,1,10,0,0
Onbekend,Baldoni Pietro,5666415,15,Italia,Man,620,Zonder specialiteit,16,1,15,163,59,True,17,0,1,3,8,1,2,0,0
Onbekend,Roberti Gelsomina,5666412,17,Italia,Vrouw,400,Zonder specialiteit,20,1,15,169,68,True,12,8,1,1,2,5,3,0,0
Kogelslingeren,Kankkunen Maria,5477971,21,Suomi,Vrouw,8020,Werpers,20,3,17,178,85,True,17,8,2,2,2,0,16,6,6
400 meter,Valsecchi Andrea,5264480,27,Italia,Man,9660,Sprinters,20,6,17,184,87,True,15,4,1,16,6,1,3,10,9
Polsstokhoogspringen,Limón Teresa,5292181,26,España,Vrouw,4930,Springers,20,5,17,179,62,True,18,3,2,7,11,12,3,10,9
Verspringen,Mantzarli Giouli,5234290,30,Hellas,Vrouw,5130,Springers,20,7,16,164,45,True,11,3,3,9,4,13,5,11,9
Discuswerpen,Moliner Adán,5006747,35,España,Man,6160,Werpers,17,12,19,179,85,True,7,12,0,0,3,0,9,10,11
200 meter,Madero Gustavo,5093620,33,Argentina,Man,17610,Sprinters,18,12,16,184,84,True,13,14,0,17,1,1,0,9,10
Speerwerpen,Boques Telma,4892774,36,Brasil,Vrouw,9380,Werpers,13,15,13,183,94,True,10,14,0,0,2,0,10,8,9
Onbekend,de Jong Gea,5611026,18,Nederland,Vrouw,220,Middenafstandslopers,10,1,15,183,84,True,8,1,3,7,2,3,1,3,4
Vijfkamp Vrouwen,Moritz Sabina,4849834,37,España,Vrouw,3490,Meerkampers,13,11,20,177,75,True,9,7,0,9,0,3,6,10,10
Onbekend,Quarino Donata,5647364,15,Italia,Vrouw,880,Meerkampers,18,1,14,157,51,True,16,1,2,8,5,0,7,7,5
Onbekend,Orefici Margherita,5532975,19,Italia,Vrouw,1520,Meerkampers,20,1,14,172,78,True,17,8,9,8,2,6,2,5,8
Onbekend,Pizzigati Gina,5491231,20,Italia,Vrouw,1250,Meerkampers,20,2,15,178,82,True,14,6,2,7,4,10,4,7,5
Onbekend,Perrone Fulgenzio,5666419,18,Italia,Man,1870,Sprinters,12,1,15,184,83,True,19,3,2,10,3,3,3,7,6
