Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Resultaten test,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Abad Olimpia,5653064,16,España,Vrouw,760,Springers,16,1,14,162,56,"[('Hoogspringen', '0.55 m', '0', 7), ('Polsstokhoogspringen', '1.38 m', '0', 7), ('Verspringen', '2.51 m', '90', 7), ('Hinkstapspringen', '4.01 m', '0', 7)]",6,3,1,9,3,6,2,7,6
Onbekend,Abaoub Asma,5658007,22,Al-Jazā'ir,Vrouw,1050,Zonder specialiteit,18,1,15,181,77,[],20,1,7,2,3,1,3,0,0
Onbekend,Abaza Sabeen,5659551,16,Miṣr,Vrouw,320,Zonder specialiteit,16,1,15,173,62,[],14,6,1,6,5,3,3,0,0
Onbekend,Abbadie Marisa,5657976,23,Uruguay,Vrouw,520,Zonder specialiteit,15,1,15,179,68,[],12,1,3,2,3,9,3,0,0
Onbekend,Abdilla Manwel,5656621,14,Malta,Man,1010,Werpers,12,1,14,170,65,"[('Kogelstoten', '4.60 m', '0', 7), ('Discuswerpen', '18.84 m', '0', 7), ('Kogelslingeren', '18.62 m', '0', 7), ('Speerwerpen', '22.47 m', '0', 7)]",11,1,3,3,1,2,10,4,7
Onbekend,Abdul Salam Adiputeri,5658676,24,Malaysia,Vrouw,1140,Zonder specialiteit,14,1,15,179,73,[],18,3,2,0,8,2,8,0,0
Onbekend,Acevedo Claudia,5658289,17,Costa Rica,Vrouw,630,Zonder specialiteit,19,1,15,166,58,[],17,1,2,2,3,1,8,0,0
Onbekend,Acevedo Gabriela,5658681,16,Costa Rica,Vrouw,510,Zonder specialiteit,18,1,15,160,56,[],10,1,1,1,9,3,1,0,0
Onbekend,Acharya Pravin,5658098,19,India,Man,400,Zonder specialiteit,15,1,15,187,84,[],9,2,2,2,9,2,5,0,0
Onbekend,Acosta Caleb,5635741,15,United States,Man,300,Langeafstandslopers,13,1,15,164,67,"[('5.000 meter', '18:29.24', '424', 8), ('10.000 meter', '42:52.57', '408', 8), ('Marathon', '2h:54:57.15', '465', 8)]",13,3,4,3,1,1,3,5,7
