Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Pirc Zdenko,5662593,14,Slovenija,Man,440,Werpers,11,1,14,171,72,2025-02-22 16:35:55,9,7,1,0,2,3,7,7,6
Onbekend,Segarra Ithaisa,5566189,17,España,Vrouw,1310,Sprinters,20,2,14,173,76,2025-02-22 17:00:30,14,3,2,6,3,4,1,10,8
Onbekend,de Lucas Antònia,5656314,17,España,Vrouw,1070,Meerkampers,12,1,14,166,67,2025-02-22 17:00:44,14,10,1,3,3,1,3,6,5
Onbekend,Lamego Tatiana,5539561,17,Portugal,Vrouw,4250,Werpers,20,2,17,169,77,2025-02-22 17:12:29,10,14,2,2,2,1,8,4,5
Onbekend,Aníbal Lúcio,5627604,17,Portugal,Man,1630,Sprinters,18,1,16,167,69,2025-02-22 17:12:50,14,9,2,10,3,4,0,5,7
Onbekend,Baía Arsénio,5637771,17,Portugal,Man,460,Sprinters,13,1,17,183,83,2025-02-22 17:13:03,11,5,3,8,1,2,1,6,6
Onbekend,Pomar Miguel,5562758,17,Portugal,Man,920,Sprinters,16,1,16,179,88,2025-02-22 17:13:16,6,8,3,9,2,3,1,6,7
Onbekend,Aires Bruno,5662432,17,Portugal,Man,1610,Springers,13,1,14,163,64,2025-02-22 17:13:37,14,0,3,1,3,10,1,9,3
Onbekend,Sequeira Ofélia,5603765,17,Portugal,Vrouw,1950,Springers,20,1,15,178,74,2025-02-22 17:14:00,12,3,1,4,6,11,0,8,8
Onbekend,Mota Reinaldo,5659572,17,Portugal,Man,610,Meerkampers,15,1,16,183,84,2025-02-22 17:14:12,6,6,3,1,3,1,1,8,8
Onbekend,Sobrinho Mónica,5653751,17,Portugal,Vrouw,590,Meerkampers,17,1,15,163,61,2025-02-22 17:14:21,11,2,8,3,1,7,6,6,4
Onbekend,Ropele Carla,5607645,15,Italia,Vrouw,2340,Springers,20,2,16,172,72,2025-02-22 17:16:43,19,2,0,5,6,11,1,7,8
Marathon,Fortini Amos,5097644,32,Italia,Man,41630,Langeafstandslopers,20,13,17,171,59,2025-02-22 17:32:11,20,0,20,14,1,1,0,15,12
Onbekend,Dean Peter,5663045,17,Italia,Man,1180,Middenafstandslopers,17,1,15,185,88,2025-02-22 17:37:49,17,3,8,9,2,3,1,4,6
Onbekend,Zarcone Olga,5663046,14,Italia,Vrouw,1550,Sprinters,11,1,14,163,61,2025-02-22 17:38:03,20,9,3,3,7,2,1,6,6
Onbekend,Di Gravina Domenico,5663047,16,Italia,Man,480,Sprinters,17,1,14,166,67,2025-02-22 17:38:13,13,8,4,7,5,3,2,4,4
1.500 meter,Noronha Orlando,5038870,34,Portugal,Man,5790,Middenafstandslopers,18,11,14,165,56,2025-02-22 18:04:56,10,1,11,8,0,1,0,12,9
Onbekend,Vila Aquilino,5565396,17,Portugal,Man,2540,Langeafstandslopers,20,1,14,181,87,2025-02-22 18:05:10,17,2,9,3,3,1,11,9,6
Zevenkamp,Saudade Fortunata,4898759,35,Portugal,Vrouw,10140,Meerkampers,20,13,14,169,64,2025-02-22 18:05:20,15,7,0,14,12,0,0,10,6
Onbekend,Crespo Ângelo,5656404,17,Portugal,Man,1580,Werpers,13,1,14,171,75,2025-02-22 18:05:29,17,3,2,1,3,1,10,6,8
Onbekend,Góis Itelvina,5603535,17,Portugal,Vrouw,1740,Langeafstandslopers,20,1,13,176,80,2025-02-22 18:05:35,20,3,10,3,3,2,3,3,7
Hoogspringen,Rosseel Maaike,4979551,34,België,Vrouw,8750,Springers,19,10,20,185,71,2025-02-22 18:28:27,20,0,5,0,14,13,0,9,7
Onbekend,Herrera Leonel,5550691,18,Costa Rica,Man,1810,Langeafstandslopers,20,2,17,175,85,2025-02-22 18:33:08,20,1,9,9,1,3,3,6,6
Kogelslingeren,Sbragia Lee,4694612,40,Great Britain,Man,34080,Werpers,20,20,14,194,98,2025-02-22 18:46:17,20,16,0,0,4,0,15,5,5
100 meter horden,Niven Bethany,4808271,38,Great Britain,Vrouw,34400,Sprinters,17,17,14,167,55,2025-02-22 19:09:12,19,0,0,18,16,0,0,8,8
Onbekend,Ferraz Manuel,5630420,17,Portugal,Man,1210,Sprinters,17,1,17,170,73,2025-02-22 19:16:58,20,3,2,8,2,2,2,5,3
Onbekend,Harrington Odhran,5590881,17,Ireland,Man,980,Sprinters,20,1,15,186,94,2025-02-22 19:17:09,16,3,3,9,4,3,8,4,4
Onbekend,Lo Conte Tony,5565142,17,Italia,Man,1230,Sprinters,20,2,17,183,90,2025-02-22 19:17:18,12,5,2,10,1,3,3,7,7
Onbekend,Ruciński Mikołaj,5567276,17,Polska,Man,1340,Sprinters,20,2,16,183,94,2025-02-22 19:17:28,9,5,3,10,4,2,2,8,6
Onbekend,Aleixo Catalina,5621379,17,Portugal,Vrouw,670,Sprinters,20,1,15,168,71,2025-02-22 19:17:38,8,3,2,6,0,1,2,8,8
Onbekend,Botelho Rebeca,5585151,17,Portugal,Vrouw,5750,Sprinters,20,2,15,172,71,2025-02-22 19:17:54,14,8,1,14,2,2,1,9,6
Onbekend,Finlay Sadhbh,5598690,17,Ireland,Vrouw,910,Sprinters,20,1,16,163,66,2025-02-22 19:18:04,12,5,2,9,4,1,7,5,6
Onbekend,Hlöðversdóttir Rún,5600018,17,Ísland,Vrouw,1080,Sprinters,19,1,18,176,76,2025-02-22 19:18:14,15,2,1,10,2,4,2,5,7
Onbekend,Noite Carla,5603813,17,Portugal,Vrouw,1880,Sprinters,20,1,16,168,67,2025-02-22 19:18:22,18,9,1,9,2,7,2,7,8
