Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2,Transferwaarde,Waarde,AtleetId
Onbekend,ter Horst Mart,5559088,17,Nederland,Man,1530,Springers,20,2,15,184,88,2025-02-26 09:51:22,15,4,1,3,9,10,2,8,6,,0,5559088
110 meter horden,Mannucci Eugenio,5139518,29,Italia,Man,3660,Sprinters,20,4,13,187,91,2025-02-26 10:06:09,16,7,0,10,5,0,1,11,9,,0,5139518
400 meter,Sportiello Folco,5263754,29,Italia,Man,1810,Sprinters,19,6,14,168,70,2025-02-26 10:06:18,9,4,2,9,4,2,3,9,10,,0,5263754
200 meter,Di Mauro Costanza,5195942,29,Italia,Vrouw,1800,Sprinters,20,5,14,165,57,2025-02-26 10:06:32,9,3,1,9,4,1,2,10,9,,0,5195942
3.000 meter steeplechase,Sergi Galeazzo,5208585,30,Italia,Man,1060,Middenafstandslopers,20,5,14,181,76,2025-02-26 10:07:08,12,1,6,9,2,2,2,8,6,,0,5208585
3.000 meter steeplechase,Orlando Lucia,5151506,29,Italia,Vrouw,5400,Middenafstandslopers,20,6,14,177,72,2025-02-26 10:07:20,10,3,3,9,5,0,0,10,13,,0,5151506
5.000 meter,Altieri Asia,5094252,31,Italia,Vrouw,2610,Langeafstandslopers,15,7,14,179,74,2025-02-26 10:07:30,7,3,8,5,4,0,0,10,10,,0,5094252
10.000 meter,Dordi Dalia,5177549,28,Italia,Vrouw,3850,Langeafstandslopers,20,7,14,167,65,2025-02-26 10:07:51,17,7,5,3,5,3,2,10,12,,0,5177549
10 km snelwandelen,Mozzani Tamara,5215378,28,Italia,Vrouw,5380,Snelwandelaars,20,7,14,168,64,2025-02-26 10:08:03,20,2,10,7,4,3,5,11,12,,0,5215378
Speerwerpen,Taddeo Fabrizio,5193205,29,Italia,Man,3870,Werpers,20,6,14,184,73,2025-02-26 10:08:30,14,8,0,5,0,3,11,11,10,,0,5193205
Tienkamp,Boccia Guido,5270751,25,Italia,Man,1820,Meerkampers,20,5,13,187,84,2025-02-26 10:09:08,13,2,4,4,4,9,3,8,10,,0,5270751
Onbekend,Melasecchi Candido,5371042,23,Italia,Man,720,Meerkampers,19,1,11,173,79,2025-02-26 10:09:30,10,4,1,2,3,10,5,4,3,,0,5371042
Vijfkamp Mannen,Padalino Vincenzo,5450015,20,Italia,Man,820,Meerkampers,20,3,15,182,85,2025-02-26 10:09:51,13,2,3,3,3,5,7,6,9,,0,5450015
Vijfkamp Vrouwen,Merlino Lisa,5297952,25,Italia,Vrouw,2260,Meerkampers,20,4,14,170,69,2025-02-26 10:10:12,19,2,3,4,3,10,8,8,8,,0,5297952
1.500 meter,Le Borgne Julia,5457772,20,France,Vrouw,3030,Middenafstandslopers,20,3,20,175,79,2025-02-26 10:15:52,16,2,10,11,6,1,1,8,9,,1000,5457772
10.000 meter,Lin Caleb,5432464,22,Singapore,Man,4440,Langeafstandslopers,20,5,19,172,76,2025-02-26 10:17:21,11,6,13,7,3,3,2,10,9,,1000,5432464
Onbekend,Frappa Massimiliano,5607630,20,Italia,Man,4680,Snelwandelaars,20,2,19,172,71,2025-02-26 10:19:01,20,2,13,2,5,0,1,10,3,,0,5607630
Onbekend,De Ruvo Rosanna,5653043,17,Italia,Vrouw,1640,Springers,12,1,14,162,60,2025-02-26 10:20:53,17,3,1,2,0,10,7,8,7,,0,5653043
Onbekend,Galluzzi Delfina,5653044,16,Italia,Vrouw,1030,Sprinters,16,1,13,160,55,2025-02-26 10:21:08,14,1,4,10,0,2,1,7,5,,0,5653044
Onbekend,Tkaczyk Borys,5537228,17,Polska,Man,1070,Snelwandelaars,20,2,16,178,90,2025-02-26 10:21:51,17,3,7,1,9,0,1,6,7,,0,5537228
Onbekend,Persia Viola,5617029,17,Italia,Vrouw,1220,Meerkampers,19,1,15,170,69,2025-02-26 10:22:48,9,2,1,3,2,10,9,5,6,,0,5617029
Onbekend,Asnaghi Leonardo,5633663,16,Italia,Man,1340,Sprinters,12,1,16,167,72,2025-02-26 10:22:59,16,3,3,10,2,0,2,5,7,,1000,5633663
110 meter horden,Rivera Garrett,5232784,26,United States,Man,24060,Sprinters,20,7,16,192,72,2025-02-26 10:37:04,19,1,3,19,11,3,3,10,10,,15000,5232784
Verspringen,Mixalios Xristoforos,5179105,28,Hellas,Man,7180,Springers,20,10,15,189,86,2025-02-26 10:37:23,10,2,1,9,9,14,1,10,10,,9000,5179105
Verspringen,del Amo Martí,5110267,30,España,Man,10370,Springers,20,8,16,171,64,2025-02-26 10:38:10,12,2,1,9,10,12,1,11,14,,11000,5110267
Vijfkamp Mannen,Vavilov Feliks,5196298,28,Rossiya,Man,7030,Meerkampers,20,7,11,176,77,2025-02-26 11:04:32,19,0,1,9,11,13,2,11,8,,0,5196298
Onbekend,Mista Lino,5644307,17,España,Man,2280,Meerkampers,20,1,18,174,74,2025-02-26 11:42:57,17,2,2,11,2,2,8,9,4,,0,5644307
Hinkstapspringen,Schöbel Sophie,5049934,32,Deutschland,Vrouw,30160,Springers,20,11,16,166,54,2025-02-26 11:59:42,20,2,0,0,19,15,0,9,7,,0,5049934
Onbekend,Sales Leire,5627546,18,España,Vrouw,1550,Werpers,13,1,11,166,66,2025-02-26 12:03:53,20,4,3,2,8,2,7,3,8,,0,5627546
Onbekend,Vélez Julia,5664136,14,España,Vrouw,600,Zonder specialiteit,20,1,15,163,58,2025-02-26 12:24:23,18,0,4,2,4,6,1,0,0,,1000,5664136
Onbekend,Lafarga Urko,5664139,16,España,Man,390,Zonder specialiteit,16,1,15,181,81,2025-02-26 12:24:41,8,7,2,3,7,7,1,0,0,,1000,5664139
