AtleetID,MaxID,Exp,Vorm,Zorg,Kra,Uit,Sne,Len,Spr,Wrp,SP1,SP2,date
5653064,760,1,14,6,3,1,9,3,6,2,7,6,20250212
5658007,1050,1,15,20,1,7,2,3,1,3,0,0,20250212
5659551,320,1,15,14,6,1,6,5,3,3,0,0,20250212
5657976,520,1,15,12,1,3,2,3,9,3,0,0,20250212
5656621,1010,1,14,11,1,3,3,1,2,10,4,7,20250212
5658676,1140,1,15,18,3,2,0,8,2,8,0,0,20250212
5658289,630,1,15,17,1,2,2,3,1,8,0,0,20250212
5658681,510,1,15,10,1,1,1,9,3,1,0,0,20250212
5658098,400,1,15,9,2,2,2,9,2,5,0,0,20250212
5635741,300,1,15,13,3,4,3,1,1,3,5,7,20250212
5660122,50,1,15,7,3,1,0,2,1,3,0,0,20250212
5660418,160,1,15,12,1,0,6,1,2,6,0,0,20250212
5658600,490,1,15,13,6,8,3,2,2,6,0,0,20250212
5660374,130,1,15,6,1,6,4,3,2,3,0,0,20250212
5659955,260,1,15,7,3,3,8,2,2,2,0,0,20250212
5659725,130,1,15,13,2,2,2,4,3,1,0,0,20250212
5658089,540,1,15,12,2,3,1,9,1,1,0,0,20250212
5657971,510,1,15,6,8,2,4,8,1,2,0,0,20250212
5620005,930,1,16,11,3,1,3,3,9,2,8,7,20250212
5651972,620,1,15,18,2,5,2,2,2,2,5,4,20250212
5660151,690,1,15,11,8,2,3,1,1,9,0,0,20250212
5620517,1800,1,15,18,2,1,2,4,9,2,7,9,20250212
5659383,580,1,15,15,8,1,2,3,6,2,6,5,20250212
5637026,350,1,13,10,4,6,3,2,2,3,7,6,20250212
5660479,150,1,15,10,6,3,2,2,2,6,0,0,20250212
5658012,300,1,15,9,0,3,2,0,3,8,0,0,20250212
5659457,250,1,15,14,5,3,3,6,4,1,0,0,20250212
5659151,210,1,15,13,1,1,3,6,0,1,0,0,20250212
4702857,860,10,13,17,0,4,1,0,0,0,3,6,20250212
5658619,680,1,15,11,3,3,1,3,3,10,0,0,20250212
5639910,1100,1,15,17,2,1,3,3,8,2,8,8,20250212
5659427,160,1,15,13,5,3,2,4,2,1,0,0,20250212
5658470,140,1,15,13,2,2,3,3,2,2,0,0,20250212
5658630,560,1,15,10,2,1,9,1,5,0,0,0,20250212
5657965,380,1,15,14,3,2,2,3,8,0,0,0,20250212
5658637,650,1,15,17,2,2,2,3,3,8,0,0,20250212
5660042,200,1,15,6,2,1,1,1,2,7,0,0,20250212
5659061,120,1,15,7,2,6,1,2,3,1,0,0,20250212
5659227,700,1,15,14,1,2,1,3,9,2,0,0,20250212
5659933,630,1,15,11,3,6,2,2,1,9,0,0,20250212
5628240,820,1,17,13,2,1,1,2,6,9,5,5,20250212
5658099,1510,1,15,18,8,10,1,3,2,2,0,0,20250212
5659706,330,1,15,8,2,8,6,3,2,2,3,4,20250212
5660226,150,1,15,11,2,1,6,1,1,3,0,0,20250212
5659505,830,1,15,19,2,2,3,7,3,1,0,0,20250212
5659503,390,1,15,14,1,1,3,8,1,2,0,0,20250212
5659705,900,1,15,18,8,8,2,1,2,3,5,5,20250212
5659961,590,1,15,17,3,3,7,2,1,1,0,0,20250212
5658161,200,1,15,7,7,1,1,2,2,2,0,0,20250212
5660394,120,1,15,11,2,4,4,5,3,4,0,0,20250212
5660286,330,1,15,14,1,2,7,1,6,3,0,0,20250212
5660153,1130,1,15,20,2,2,2,7,3,7,0,0,20250212
5607826,650,1,17,16,2,2,6,1,3,2,8,4,20250212
5658295,390,1,15,14,4,1,1,8,4,3,0,0,20250212
5622947,1260,1,17,11,3,9,1,9,2,3,4,7,20250212
5660117,350,1,15,16,6,2,4,3,3,1,0,0,20250212
5658293,1470,1,15,16,8,1,2,10,1,3,0,0,20250212
5658806,630,1,15,13,9,2,3,3,2,7,0,0,20250212
5658248,1540,1,15,20,2,2,8,1,5,9,0,0,20250212
4887184,35560,15,14,20,17,0,18,0,0,0,8,8,20250212
5659215,1330,1,15,11,10,6,3,3,9,1,4,6,20250212
5608388,430,1,15,14,3,4,3,3,1,2,6,7,20250212
5637127,1190,1,15,16,4,8,2,2,3,8,7,7,20250212
5659083,980,1,15,8,7,3,10,3,3,3,0,0,20250212
5658459,150,1,15,9,7,1,1,0,1,2,0,0,20250212
5657999,350,1,15,15,1,0,7,2,1,3,0,0,20250212
5658395,1120,1,15,14,2,10,1,3,2,3,0,0,20250212
5658894,290,1,15,13,5,1,1,7,2,2,0,0,20250212
5659235,160,1,15,9,3,3,7,3,0,2,0,0,20250212
5659037,710,1,15,15,1,5,0,2,9,1,0,0,20250212
5658986,810,1,15,16,3,2,1,0,2,9,0,0,20250212
5660045,540,1,15,16,7,7,1,2,2,3,0,0,20250212
5659867,880,1,15,14,10,3,2,3,1,3,0,0,20250212
4987478,16440,13,19,14,0,15,7,4,0,0,12,14,20250212
5658730,180,1,15,11,1,0,2,3,7,2,0,0,20250212
5633825,340,1,15,13,2,3,4,2,2,1,7,5,20250212
5660485,390,1,15,16,7,3,3,2,2,2,0,0,20250212
5659557,930,1,15,17,3,9,6,0,2,1,0,0,20250212
5659038,140,1,15,9,1,1,3,6,4,6,0,0,20250212
5659272,70,1,15,9,1,3,1,3,3,3,0,0,20250212
5658337,460,1,15,8,8,3,2,1,8,2,0,0,20250212
5578379,990,1,15,16,9,3,5,7,1,6,4,6,20250212
